,Aeroporto de Guarulhos,Aparecida,Bertioga,Caçapava,Cachoeira Paulista,Campinas,Campos do Jordão,Caraguatatuba,Cruzeiro,Guaratinguetá,Ilhabela,Itajubá,Jacareí,Lorena,Mogi das Cruzes,Paraibuna,Paraisópolis,Pouso Alegre,Queluz,Roseira,Santa Branca,Santo André,Santo Antônio do Pinhal,Santos,São Bento do Sapucaí,São Bernardo do Campo,São Caetano do Sul,São José dos Campos,São Paulo,São Sebastião,Taubaté,Tremembé,Ubatuba
Aeroporto de Guarulhos,,,"306,90",,,,,"499,10",,,"585,90",,"210,80",,,"341,00",,,,,,,,,,,,"235,60",,"570,40",,,"657,20"
Aparecida,,,,"186,00",,,,,"145,70","21,70",,,,"62,00",,,,,,"37,20",,,,,,,,"263,50","533,20",,"136,40",,
Bertioga,"306,90",,,,,,,"347,20",,,,,,,,,,,,,,"306,90",,"238,70",,"297,60","331,70",,"359,60","269,70",,,
Caçapava,,"186,00",,,"285,20",,,"313,10","325,50","204,60",,,,"244,90",,"155,00",,,,"155,00",,,,,,,,"83,70","372,00","381,30","65,10",,
Cachoeira Paulista,,,,"285,20",,,,,"55,80","86,80",,,,"55,80",,,,,,"136,40",,,,,,,,"362,70","660,30",,"232,50",,
Campinas,,,,,,,,,,,,,"437,10",,,,,,,,,,,,,,,"465,00",,,,,
Campos do Jordão,,,,,,,,,,,,,,,,,,,,,,,"62,00",,"102,30",,,"263,50","561,10",,"139,50","117,80",
Caraguatatuba,"499,10",,"347,20","313,10",,,,,,,,,,,,"186,00",,,,,"328,60","601,40",,"768,80",,"623,10","576,60","285,20","558,00","80,60",,,"161,20"
Cruzeiro,,"145,70",,"325,50","55,80",,,,,,,,,"99,20",,,,,"77,50","179,80",,,,,,,,"406,10","703,70",,"275,90",,
Guaratinguetá,,"21,70",,"204,60","86,80",,,,,,,"266,60",,"37,20",,,,,,"55,80",,,,,,,,"282,10",,,"155,00",,
Ilhabela,"585,90",,,,,,,,,,,,,,,,,,,,,"691,30",,,,"716,10","666,50",,"651,00",,,,
Itajubá,,,,,,,,,,"266,60",,,,"220,10",,,,,,,,,,,,,,"539,40","809,10",,"409,20",,
Jacareí,"210,80",,,,,"437,10",,,,,,,,,"167,40",,,,,,,,,,,,,,"263,50",,,,
Lorena,,"62,00",,"244,90","55,80",,,,"99,20","37,20",,"220,10",,,,,,,,"96,10",,,,,,,,"322,40",,,"192,20",,
Mogi das Cruzes,,,,,,,,,,,,,"167,40",,,,,,,,,,,,,,,"195,30","189,10",,,,
Paraibuna,"341,00",,,"155,00",,,,"186,00",,,,,,,,,,,,,,,,,,,,"108,50","381,30","229,40","207,70",,"325,50"
Paraisópolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,"310,00","672,70",,"251,10",,
Pouso Alegre,,,,,,,,,,,,,,,,,,,,,,,,,,,,"731,60",,,,,
Queluz,,,,,,,,,"77,50",,,,,,,,,,,,,,,,,,,,,,,,
Roseira,,"37,20",,"155,00","136,40",,,,"179,80","55,80",,,,"96,10",,,,,,,,,,,,,,"226,30",,,"99,20",,
Santa Branca,,,,,,,,"328,60",,,,,,,,,,,,,,,,,,,,,,,,,
Santo André,,,"306,90",,,,,"601,40",,,"691,30",,,,,,,,,,,,,,,,,,,"660,30",,,
Santo Antônio do Pinhal,,,,,,,"62,00",,,,,,,,,,,,,,,,,,,,,,,,,,
Santos,,,"238,70",,,,,"768,80",,,,,,,,,,,,,,,,,,,,,"223,20","496,00",,,
São Bento do Sapucaí,,,,,,,"102,30",,,,,,,,,,,,,,,,,,,,,"257,30",,,,,
São Bernardo do Campo,,,"297,60",,,,,"623,10",,,"716,10",,,,,,,,,,,,,,,,,,,"669,60",,,
São Caetano do Sul,,,"331,70",,,,,"576,60",,,"666,50",,,,,,,,,,,,,,,,,,,"672,70",,,
São José dos Campos,"235,60","263,50",,"83,70","362,70","465,00","263,50","285,20","406,10","282,10",,"539,40",,"322,40","195,30","108,50","310,00","731,60",,"226,30",,,,,"257,30",,,,"300,70","337,90","133,30",,"415,40"
São Paulo,,"533,20","359,60","372,00","660,30",,"561,10","558,00","703,70",,"651,00","809,10","263,50",,"189,10","381,30","672,70",,,,,,,"223,20",,,,"300,70",,"613,80","412,30","486,70","700,60"
São Sebastião,"570,40",,"269,70","381,30",,,,"80,60",,,,,,,,"229,40",,,,,,"660,30",,"496,00",,"669,60","672,70","337,90","613,80",,"455,70",,
Taubaté,,"136,40",,"65,10","232,50",,"139,50",,"275,90","155,00",,"409,20",,"192,20",,"207,70","251,10",,,"99,20",,,,,,,,"133,30","412,30","455,70",,,
Tremembé,,,,,,,"117,80",,,,,,,,,,,,,,,,,,,,,,"486,70",,,,
Ubatuba,"657,20",,,,,,,"161,20",,,,,,,,"325,50",,,,,,,,,,,,"415,40","700,60",,,,
