,Aeroporto de Guarulhos,Aparecida,Bertioga,Caçapava,Cachoeira Paulista,Campinas,Campos do Jordão,Caraguatatuba,Cruzeiro,Guaratinguetá,Ilhabela,Itajubá,Jacareí,Lorena,Mogi das Cruzes,Paraibuna,Paraisópolis,Pouso Alegre,Queluz,Roseira,Santa Branca,Santo André,Santo Antônio do Pinhal,Santos,São Bento do Sapucaí,São Bernardo do Campo,São Caetano do Sul,São José dos Campos,São Paulo,São Sebastião,Taubaté,Tremembé,Ubatuba
Aeroporto de Guarulhos,,,99,,,,,161,,,189,,68,,,110,,,,,,,,,,,,76,,184,,,212
Aparecida,,,,60,,,,,47,7,,,,20,,,,,,12,,,,,,,,85,172,,44,,
Bertioga,99,,,,,,,112,,,,,,,,,,,,,,99,,77,,96,107,,116,87,,,
Caçapava,,60,,,92,,,101,105,66,,,,79,,50,,,,50,,,,,,,,27,120,123,21,,
Cachoeira Paulista,,,,92,,,,,18,28,,,,18,,,,,,44,,,,,,,,117,213,,75,,
Campinas,,,,,,,,,,,,,141,,,,,,,,,,,,,,,150,,,,,
Campos do Jordão,,,,,,,,,,,,,,,,,,,,,,,20,,33,,,85,181,,45,38,
Caraguatatuba,161,,112,101,,,,,,,,,,,,60,,,,,106,194,,248,,201,186,92,180,26,,,52
Cruzeiro,,47,,105,18,,,,,,,,,32,,,,,25,58,,,,,,,,131,227,,89,,
Guaratinguetá,,7,,66,28,,,,,,,86,,12,,,,,,18,,,,,,,,91,,,50,,
Ilhabela,189,,,,,,,,,,,,,,,,,,,,,223,,,,231,215,,210,,,,
Itajubá,,,,,,,,,,86,,,,71,,,,,,,,,,,,,,174,261,,132,,
Jacareí,68,,,,,141,,,,,,,,,54,,,,,,,,,,,,,,85,,,,
Lorena,,20,,79,18,,,,32,12,,71,,,,,,,,31,,,,,,,,104,,,62,,
Mogi das Cruzes,,,,,,,,,,,,,54,,,,,,,,,,,,,,,63,61,,,,
Paraibuna,110,,,50,,,,60,,,,,,,,,,,,,,,,,,,,35,123,74,67,,105
Paraisópolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,217,,81,,
Pouso Alegre,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,
Queluz,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
Roseira,,12,,50,44,,,,58,18,,,,31,,,,,,,,,,,,,,73,,,32,,
Santa Branca,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,
Santo André,,,99,,,,,194,,,223,,,,,,,,,,,,,,,,,,,213,,,
Santo Antônio do Pinhal,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Santos,,,77,,,,,248,,,,,,,,,,,,,,,,,,,,,72,160,,,
São Bento do Sapucaí,,,,,,,33,,,,,,,,,,,,,,,,,,,,,83,,,,,
São Bernardo do Campo,,,96,,,,,201,,,231,,,,,,,,,,,,,,,,,,,216,,,
São Caetano do Sul,,,107,,,,,186,,,215,,,,,,,,,,,,,,,,,,,217,,,
São José dos Campos,76,85,,27,117,150,85,92,131,91,,174,,104,63,35,100,236,,73,,,,,83,,,,97,109,43,,134
São Paulo,,172,116,120,213,,181,180,227,,210,261,85,,61,123,217,,,,,,,72,,,,97,,198,133,157,226
São Sebastião,184,,87,123,,,,26,,,,,,,,74,,,,,,213,,160,,216,217,109,198,,147,,
Taubaté,,44,,21,75,,45,,89,50,,132,,62,,67,81,,,32,,,,,,,,43,133,147,,,
Tremembé,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,157,,,,
Ubatuba,212,,,,,,,52,,,,,,,,105,,,,,,,,,,,,134,226,,,,
