,Aeroporto de Guarulhos,Aparecida,Bertioga,Caçapava,Cachoeira Paulista,Campinas,Campos do Jordão,Caraguatatuba,Cruzeiro,Guaratinguetá,Ilhabela,Itajubá,Jacareí,Lorena,Mogi das Cruzes,Paraibuna,Paraisópolis,Pouso Alegre,Queluz,Roseira,Santa Branca,Santo André,Santo Antônio do Pinhal,Santos,São Bento do Sapucaí,São Bernardo do Campo,São Caetano do Sul,São José dos Campos,São Paulo,São Sebastião,Taubaté,Tremembé,Ubatuba
Aeroporto de Guarulhos,,,155,,,,,140,,,200,,70,,,90,,,,,,,,,,,,70,,205,,,280
Aparecida,,,,60,,,,,95,15,,,,30,,,,,,15,,,,,,,,85,180,,35,,
Bertioga,155,,,,,,,205,,,,,,,,,,,,,,140,,100,,110,170,,165,155,,,
Caçapava,,60,,,145,,,170,175,85,,,,115,,90,,,,55,,,,,,,,25,130,230,30,,
Cachoeira Paulista,,,,145,,,,,30,55,,,,30,,,,,,95,,,,,,,,130,245,,70,,
Campinas,,,,,,,,,,,,,150,,,,,,,,,,,,,,,180,,,,,
Campos do Jordão,,,,,,,,,,,,,,,,,,,,,,,50,,90,,,120,225,,90,50,
Caraguatatuba,140,,205,170,,,,,,,,,,,,60,,,,,110,350,,315,,320,380,110,160,60,,,90
Cruzeiro,,95,,175,30,,,,,,,,,55,,,,,35,125,,,,,,,,160,275,,100,,
Guaratinguetá,,15,,85,55,,,,,,,155,,30,,,,,,25,,,,,,,,100,,,50,,
Ilhabela,200,,,,,,,,,,,,,,,,,,,,,290,,,,260,320,,270,,,,
Itajubá,,,,,,,,,,155,,,,120,,,,,,,,,,,,,,230,325,,170,,
Jacareí,70,,,,,150,,,,,,,,,75,,,,,,,,,,,,,,100,,,,
Lorena,,30,,115,30,,,,55,30,,120,,,,,,,,55,,,,,,,,130,,,80,,
Mogi das Cruzes,,,,,,,,,,,,,75,,,,,,,,,,,,,,,105,80,,,,
Paraibuna,90,,,90,,,,60,,,,,,,,,,,,,,,,,,,,50,150,120,100,,160
Paraisópolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,245,,90,,
Pouso Alegre,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,
Queluz,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
Roseira,,15,,55,95,,,,125,25,,,,55,,,,,,,,,,,,,,75,,,25,,
Santa Branca,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,
Santo André,,,140,,,,,350,,,290,,,,,,,,,,,,,,,,,,,315,,,
Santo Antônio do Pinhal,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
Santos,,,100,,,,,315,,,,,,,,,,,,,,,,,,,,,100,265,,,
São Bento do Sapucaí,,,,,,,90,,,,,,,,,,,,,,,,,,,,,120,,,,,
São Bernardo do Campo,,,110,,,,,320,,,260,,,,,,,,,,,,,,,,,,,280,,,
São Caetano do Sul,,,170,,,,,380,,,320,,,,,,,,,,,,,,,,,,,350,,,
São José dos Campos,70,85,,25,130,180,120,110,160,100,,230,,130,105,50,150,230,,75,,,,,120,,,,90,160,60,,190
São Paulo,,180,165,130,245,,225,160,275,,270,325,100,,80,150,245,,,,,,,100,,,,90,,250,150,210,300
São Sebastião,205,,155,230,,,,60,,,,,,,,120,,,,,,315,,265,,280,350,160,250,,230,,
Taubaté,,35,,30,70,,90,,100,50,,170,,80,,100,90,,,25,,,,,,,,60,150,230,,,
Tremembé,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,210,,,,
Ubatuba,280,,,,,,,90,,,,,,,,160,,,,,,,,,,,,190,300,,,,
