,Aeroporto de Guarulhos,Aparecida,Bertioga,Caçapava,Cachoeira Paulista,Campinas,Campos do Jordão,Caraguatatuba,Cruzeiro,Guaratinguetá,Ilhabela,Itajubá,Jacareí,Lorena,Mogi das Cruzes,Paraibuna,Paraisópolis,Pouso Alegre,Queluz,Roseira,Santa Branca,Santo André,Santo Antônio do Pinhal,Santos,São Bento do Sapucaí,São Bernardo do Campo,São Caetano do Sul,São José dos Campos,São Paulo,São Sebastião,Taubaté,Tremembé,Ubatuba
Aeroporto de Guarulhos,,,1,,,,,1,,,1,,1,,,1,,,,,,,,,,,,1,,1,,,1
Aparecida,,,,1,,,,,1,1,,,,1,,,,,,1,,,,,,,,1,1,,1,,
Bertioga,1,,,,,,,1,,,,,,,,,,,,,,1,,1,,1,1,,1,1,,,
Caçapava,,1,,,1,,,1,1,1,,,,1,,1,,,,1,,,,,,,,1,1,1,1,,
Cachoeira Paulista,,,,1,,,,,1,1,,,,1,,,,,,1,,,,,,,,1,1,,1,,
Campinas,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
Campos do Jordão,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,1,1,
Caraguatatuba,1,,1,1,,,,,,,,,,,,1,,,,,1,1,,1,,1,1,1,1,1,,,1
Cruzeiro,,1,,1,1,,,,,,,,,1,,,,,1,1,,,,,,,,1,1,,1,,
Guaratinguetá,,1,,1,1,,,,,,,1,,1,,,,,,1,,,,,,,,1,,,1,,
Ilhabela,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,
Itajubá,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,1,,1,,
Jacareí,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,
Lorena,,1,,1,1,,,,1,1,,1,,,,,,,,1,,,,,,,,1,,,1,,
Mogi das Cruzes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,
Paraibuna,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1
Paraisópolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,
Pouso Alegre,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Queluz,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Roseira,,1,,1,1,,,,1,1,,,,1,,,,,,,,,,,,,,1,,,1,,
Santa Branca,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Santo André,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,
Santo Antônio do Pinhal,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Santos,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,
São Bento do Sapucaí,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
São Bernardo do Campo,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,
São Caetano do Sul,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,
São José dos Campos,1,1,,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,,,,,1,,,,1,1,1,,1
São Paulo,,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,,,,,,,1,,,,1,,1,1,1,1
São Sebastião,1,,1,1,,,,1,,,,,,,,1,,,,,,1,,1,,1,1,1,1,,1,,
Taubaté,,1,,1,1,,1,,1,1,,1,,1,,1,1,,,1,,,,,,,,1,1,1,,,
Tremembé,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ubatuba,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,,,
